company_name,company_website,words_found_master_str,keyword_careers_found_and_clicked,keyword_benefits_found_on_page,keyword_category_found_on_page,match_health_and_wellness,match_work_from_home,match_learning_and_development
weka,https://www.weka.io,",[[[-keywords_careers_href_1: https://www.weka.io/careers/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
deepscribe,https://www.deepscribe.ai,",[[[-keywords_careers_href_1: https://www.deepscribe.ai/careers[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
tecovas,https://tecovas.com,",[[[-keywords_careers_href_1: https://www.tecovas.com/pages/careers[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning",True,False,True,False,False,False
vivvi,https://vivvi.com,",[[[-keywords_careers_href_1: https://vivvi.com/careers[[[-keyword_benefits_found_on_page: reimbursement[[[-master_str_benefit_html_found: - - [[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: skill development[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: professional development",True,True,True,False,False,False
ironclad,https://www.ironcladapp.com,",[[[-keywords_careers_href_1: https://ironcladapp.com/careers/[[[-keyword_benefits_found_on_page: reimbursement[[[-master_str_benefit_html_found: - span class=""type--b"">great health care insurance, monthly fitness reimbursement, and seasonal activities like yoga, surfing, and hikes with our dogs are just some of the ways we help take care of employee health and wellness.<[[[-keyword_category_found_on_page: fitness[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: wellness[[[-scrape_benefit_category_proof: word: fitness | phrase: master_str_benefit_html_found: - span class=""type--b"">great health care insurance, monthly fitness reimbursement, and seasonal activities like yoga, surfing, and hikes with our dogs are just some of the ways we help take care of employee health and wellness.<[[[-scrape_benefit_category_proof: word: wellness | phrase: master_str_benefit_html_found: - span class=""type--b"">great health care insurance, monthly fitness reimbursement, and seasonal activities like yoga, surfing, and hikes with our dogs are just some of the ways we help take care of employee health and wellness.<",True,True,True,True,False,False
clari,https://www.clari.com,",[[[-keywords_careers_href_1: https://www.clari.com/careers/[[[-keyword_category_found_on_page: professional development[[[-keyword_category_found_on_page: wellness",True,False,True,False,False,False
spekit,https://spekit.com,",[[[-keywords_careers_href_1: https://spekit.com/careers/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: wellness",True,False,True,False,False,False
nowsta,https://nowsta.com,",",False,False,False,False,False,False
capacity,https://capacity.com,",[[[-keywords_careers_href_1: https://careers.capacity.com/[[[-keyword_category_found_on_page: gym",True,False,True,False,False,False
turing_labs,https://www.turingsaas.com,",[[[-keywords_careers_href_1: https://www.turingsaas.com/careers",True,False,False,False,False,False
anitian,https://www.anitian.com,",[[[-keywords_careers_href_1: https://www.anitian.com/careers/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: gym[[[-keyword_category_found_on_page: monitor[[[-keyword_category_found_on_page: professional development[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
capital_markets_gateway,https://cmgx.io,",[[[-keywords_careers_href_1: https://cmgx.io/company/careers/",True,False,False,False,False,False
sollis_health,https://www.sollishealth.com,",[[[-keywords_careers_href_1: https://sollishealth.com/careers/[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
kidztopros,https://kidztopros.com,",[[[-keywords_careers_href_1: https://www.kidztopros.com/careers[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: courses[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education",True,False,True,False,False,False
order,https://order.co,",[[[-keywords_careers_href_1: https://careers.smartrecruiters.com/Order[[[-keyword_category_found_on_page: internet[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
sibros,https://www.sibros.com,",[[[-keywords_careers_href_1: https://www.sibros.com/careers[[[-keyword_benefits_found_on_page: stipend[[[-master_str_benefit_html_found: - div class=""benefits-title"">educational stipend &amp; training <p class=""text-small _16 margin"">our employees have access to an educational stipend to take courses or programs to broaden your skillset in your field.<[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: courses[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: remote[[[-scrape_benefit_category_proof: word: courses | phrase: master_str_benefit_html_found: - div class=""benefits-title"">educational stipend &amp; training <p class=""text-small _16 margin"">our employees have access to an educational stipend to take courses or programs to broaden your skillset in your field.<[[[-scrape_benefit_category_proof: word: education | phrase: master_str_benefit_html_found: - div class=""benefits-title"">educational stipend &amp; training <p class=""text-small _16 margin"">our employees have access to an educational stipend to take courses or programs to broaden your skillset in your field.<",True,True,True,False,False,True
polly,https://www.polly.io,",[[[-keywords_careers_href_1: https://jobs.lever.co/pollyex[[[-keyword_category_found_on_page: desk",True,False,True,False,False,False
lex_markets,https://www.lex-markets.com,",[[[-keywords_careers_href_1: https://www.lex-markets.com/company/careers[[[-keyword_benefits_found_on_page: reimbursement[[[-master_str_benefit_html_found: - p>unlimited pto, mental health days, gym reimbursement<[[[-keyword_category_found_on_page: gym[[[-scrape_benefit_category_proof: word: gym | phrase: master_str_benefit_html_found: - p>unlimited pto, mental health days, gym reimbursement<",True,True,True,True,False,False
loadsmart,https://loadsmart.com,",[[[-keywords_careers_href_1: https://loadsmart.com/careers[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
maisonette,https://www.maisonette.com,",[[[-keywords_careers_href_1: https://www.maisonette.com/careers[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: gym[[[-keyword_category_found_on_page: wellness[[[-keyword_category_found_on_page: remote",True,False,True,False,False,False
dewpoint_therapeutics,https://dewpointx.com,",[[[-keywords_careers_href_1: https://condensates.com/jobs[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: education",True,False,True,False,False,False
taxfyle,https://www.taxfyle.com,",[[[-keywords_careers_href_1: https://www.taxfyle.com/freelance-cpa-jobs[[[-keyword_category_found_on_page: desk[[[-keyword_category_found_on_page: courses[[[-keyword_category_found_on_page: learning[[[-keyword_category_found_on_page: education[[[-keyword_category_found_on_page: monitor",True,False,True,False,False,False
swoogo,https://www.swoogo.com,",[[[-keywords_careers_href_1: https://swoogo.events/careers/[[[-keyword_category_found_on_page: learning",True,False,True,False,False,False
alchemy,https://alchemy.com,",[[[-keywords_careers_href_1: https://alchemy.com/careers",True,False,False,False,False,False
